visit-id,duration,assigned orient,nominal orient,ra,dec,start,end,slew,gap
0098101001104,828.0,140.8,134.38171574819773,2.7224327660012766,-0.9587956064743542,2027.004:14:21:38,2027.004:14:39:20,0,0
0098101001047,828.0,140.8,133.56600278369098,2.7394544749582277,-1.033018690278868,2027.004:14:39:20,2027.004:14:57:02,0,0
0098101001032,828.0,140.8,133.6413702211042,2.7376468083631167,-1.0477015634994793,2027.004:14:57:02,2027.004:15:14:45,0,0
0098101001019,828.0,140.8,133.71619584568828,2.735745737564203,-1.062374982853309,2027.004:15:14:45,2027.004:15:32:27,0,0
0098101001063,828.0,140.8,133.53339232281525,2.7411754495949516,-1.0183328596948027,2027.004:15:32:27,2027.004:15:50:09,0,0
0098101001077,828.0,140.8,133.47709124410318,2.742815811836849,-1.0036505197692407,2027.004:15:50:09,2027.004:16:07:52,0,0
0098101001089,828.0,140.8,133.41893381733837,2.744381088559885,-0.9889781185241416,2027.004:16:07:52,2027.004:16:25:34,0,0
0098101001098,828.0,140.8,133.35884851986654,2.7458763048578625,-0.9743220555000962,2027.004:16:25:34,2027.004:16:43:16,0,0
0098101001105,828.0,140.8,133.29654105361834,2.7473060713088913,-0.959688681756326,2027.004:16:43:16,2027.004:17:00:59,0,0
0098101001020,828.0,140.8,132.34720800313636,2.7652045245989663,-1.0631350737425522,2027.004:17:00:59,2027.004:17:18:41,0,0
0098101001033,828.0,140.8,132.33795996937403,2.766365059468465,-1.0484365895214092,2027.004:17:18:41,2027.004:17:36:23,0,0
0098101001078,828.0,140.8,132.2699963650525,2.769519531197493,-1.004315684139723,2027.004:17:36:23,2027.004:17:54:05,0,0
0098101001048,828.0,140.8,132.33664650583694,2.767468383899523,-1.033729572579479,2027.004:17:54:05,2027.004:18:11:48,0,0
0098101001064,828.0,140.8,132.32114827898482,2.768518628504705,-1.0190204709387198,2027.004:18:11:48,2027.004:18:29:30,0,0
0098101001090,828.0,140.8,132.26898986815547,2.770474488097722,-0.9896215632417099,2027.004:18:29:30,2027.004:18:47:12,0,0
0098101001099,828.0,140.8,132.24274601080037,2.7713865898926087,-0.9749445562666408,2027.004:18:47:12,2027.004:19:04:55,0,0
0098101001011,828.0,140.8,130.96149716756508,2.7943070317557557,-1.078222669424153,2027.004:19:04:55,2027.004:19:22:37,0,0
0098101001021,828.0,140.8,131.0009354400875,2.794743211352445,-1.06352573660679,2027.004:19:22:37,2027.004:19:40:19,0,0
0098101001034,828.0,140.8,131.03539280542782,2.7951573198063016,-1.04881435634173,2027.004:19:40:19,2027.004:19:58:01,0,0
0098101001049,828.0,140.8,131.06465844814315,2.795550971546884,-1.0340949281695635,2027.004:19:58:01,2027.004:20:15:44,0,0
0098101001065,828.0,140.8,131.08869986000164,2.7959256573762605,-1.0193738516308808,2027.004:20:15:44,2027.004:20:33:26,0,0
0098101001079,828.0,140.8,131.10747158206965,2.7962827081079875,-1.0046574777849053,2027.004:20:33:26,2027.004:20:51:08,0,0
0098101001091,828.0,140.8,131.12090375394033,2.7966233527447457,-0.9899522061722268,2027.004:20:51:08,2027.004:21:08:51,0,0
0098101001014,828.0,140.8,126.63199363681771,2.8852436963340558,-1.0771343111914309,2027.004:21:08:51,2027.004:21:26:33,0,0
0098101001006,828.0,140.8,126.46336210385883,2.8872676092234886,-1.0917730178856921,2027.004:21:26:33,2027.004:21:44:15,0,0
0098101001013,828.0,140.8,128.11364304414195,2.8549935115665903,-1.0778798576702409,2027.004:21:44:15,2027.004:22:01:58,0,0
0098101001035,828.0,140.8,129.7364569800912,2.823976029154512,-1.0488334580007659,2027.004:22:01:58,2027.004:22:19:40,0,0
0098101001023,828.0,140.8,128.25655435115772,2.8538546551408435,-1.063194269493015,2027.004:22:19:40,2027.004:22:37:22,0,0
0098101001012,828.0,140.8,129.61702984432262,2.824662750765325,-1.0782431285614962,2027.004:22:37:22,2027.004:22:55:04,0,0
0098101001022,828.0,140.8,129.7021648645612,2.8243104706002202,-1.0635454685236112,2027.004:22:55:04,2027.004:23:12:47,0,0
0098101001100,828.0,140.8,131.2026418754769,2.7969486821173173,-0.9752643878520687,2027.004:23:12:47,2027.004:23:30:29,0,0
0098101001005,828.0,140.8,128.04931720967747,2.8561946471578126,-1.0925442110082333,2027.004:23:30:29,2027.004:23:48:11,0,0
0098101001052,828.0,140.8,127.19571477355373,2.879768714825832,-1.0331107563969104,2027.004:23:48:11,2027.005:00:05:54,0,0
0098101001069,828.0,140.8,126.06187923305666,2.9053707096405654,-1.017437554269898,2027.005:00:05:54,2027.005:00:23:36,0,0
0098101001093,828.0,140.8,128.7960811896387,2.848944694889133,-0.9896716929763373,2027.005:00:23:36,2027.005:00:41:18,0,0
0098101001037,828.0,140.8,127.08458197939999,2.881501746778805,-1.0477967324250814,2027.005:00:41:18,2027.005:00:59:00,0,0
0098101001036,828.0,140.8,128.46537479916046,2.8527733727637963,-1.048493846017149,2027.005:00:59:00,2027.005:01:16:43,0,0
0098101001080,828.0,140.8,130.01238347752198,2.8230671271299204,-1.004674785633321,2027.005:01:16:43,2027.005:01:34:25,0,0
